---------MPO TERM: 1 -----------
--------ALL CHIRAL TERMS --------
Sz,13,1,(1,0)
Sm,35,1,(0.5,0)
Sp,24,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,9,1,(0.5,0)
Sm,31,1,(0.25,0)
Sp,20,1,(0.25,0)
Sz,11,1,(0.5,0)
Sm,33,1,(0.25,0)
Sp,22,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
---------MPO TERM: 4 -----------
--------ALL CHIRAL TERMS --------
Sp,11,25,(0,0.0625)
Sm,11,14,(-0,-0.0625)
Sz,33,25,(-0,-0.0625)
Sm,33,3,(0,0.0625)
Sz,22,14,(0,0.0625)
Sp,22,3,(-0,-0.0625)
Sp,11,28,(0,0.0625)
Sm,11,17,(-0,-0.0625)
Sz,33,28,(-0,-0.0625)
Sm,33,6,(0,0.0625)
Sz,22,17,(0,0.0625)
Sp,22,6,(-0,-0.0625)
Sp,13,27,(-0,-0.0625)
Sm,13,16,(0,0.0625)
Sz,35,27,(0,0.0625)
Sm,35,5,(-0,-0.0625)
Sz,24,16,(-0,-0.0625)
Sp,24,5,(0,0.0625)
Sp,13,28,(-0,-0.0625)
Sm,13,17,(0,0.0625)
Sz,35,28,(0,0.0625)
Sm,35,6,(-0,-0.0625)
Sz,24,17,(-0,-0.0625)
Sp,24,6,(0,0.0625)
--------ALL NN TERMS --------
Sz,10,1,(1,0)
Sm,32,1,(0.5,0)
Sp,21,1,(0.5,0)
Sz,11,1,(1,0)
Sm,33,1,(0.5,0)
Sp,22,1,(0.5,0)
Sz,13,1,(1,0)
Sm,35,1,(0.5,0)
Sp,24,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,7,1,(0.5,0)
Sm,29,1,(0.25,0)
Sp,18,1,(0.25,0)
Sz,9,1,(0.5,0)
Sm,31,1,(0.25,0)
Sp,20,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
---------MPO TERM: 5 -----------
--------ALL CHIRAL TERMS --------
Sp,10,25,(0,0.0625)
Sm,10,14,(-0,-0.0625)
Sz,32,25,(-0,-0.0625)
Sm,32,3,(0,0.0625)
Sz,21,14,(0,0.0625)
Sp,21,3,(-0,-0.0625)
Sp,10,27,(-0,-0.0625)
Sm,10,16,(0,0.0625)
Sz,32,27,(0,0.0625)
Sm,32,5,(-0,-0.0625)
Sz,21,16,(-0,-0.0625)
Sp,21,5,(0,0.0625)
Sp,11,25,(0,0.0625)
Sm,11,14,(-0,-0.0625)
Sz,33,25,(-0,-0.0625)
Sm,33,3,(0,0.0625)
Sz,22,14,(0,0.0625)
Sp,22,3,(-0,-0.0625)
Sp,13,27,(-0,-0.0625)
Sm,13,16,(0,0.0625)
Sz,35,27,(0,0.0625)
Sm,35,5,(-0,-0.0625)
Sz,24,16,(-0,-0.0625)
Sp,24,5,(0,0.0625)
--------ALL NN TERMS --------
Sz,10,1,(1,0)
Sm,32,1,(0.5,0)
Sp,21,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,11,1,(0.5,0)
Sm,33,1,(0.25,0)
Sp,22,1,(0.25,0)
Sz,13,1,(0.5,0)
Sm,35,1,(0.25,0)
Sp,24,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
---------MPO TERM: 6 -----------
--------ALL CHIRAL TERMS --------
Sp,13,27,(-0,-0.0625)
Sm,13,16,(0,0.0625)
Sz,35,27,(0,0.0625)
Sm,35,5,(-0,-0.0625)
Sz,24,16,(-0,-0.0625)
Sp,24,5,(0,0.0625)
Sp,13,28,(-0,-0.0625)
Sm,13,17,(0,0.0625)
Sz,35,28,(0,0.0625)
Sm,35,6,(-0,-0.0625)
Sz,24,17,(-0,-0.0625)
Sp,24,6,(0,0.0625)
Sp,10,25,(0,0.0625)
Sm,10,14,(-0,-0.0625)
Sz,32,25,(-0,-0.0625)
Sm,32,3,(0,0.0625)
Sz,21,14,(0,0.0625)
Sp,21,3,(-0,-0.0625)
Sp,11,25,(0,0.0625)
Sm,11,14,(-0,-0.0625)
Sz,33,25,(-0,-0.0625)
Sm,33,3,(0,0.0625)
Sz,22,14,(0,0.0625)
Sp,22,3,(-0,-0.0625)
--------ALL NN TERMS --------
Sz,10,1,(1,0)
Sm,32,1,(0.5,0)
Sp,21,1,(0.5,0)
Sz,13,1,(1,0)
Sm,35,1,(0.5,0)
Sp,24,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,9,1,(0.5,0)
Sm,31,1,(0.25,0)
Sp,20,1,(0.25,0)
Sz,11,1,(0.5,0)
Sm,33,1,(0.25,0)
Sp,22,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
---------MPO TERM: 7 -----------
--------ALL CHIRAL TERMS --------
Sp,13,27,(-0,-0.0625)
Sm,13,16,(0,0.0625)
Sz,35,27,(0,0.0625)
Sm,35,5,(-0,-0.0625)
Sz,24,16,(-0,-0.0625)
Sp,24,5,(0,0.0625)
Sp,13,28,(-0,-0.0625)
Sm,13,17,(0,0.0625)
Sz,35,28,(0,0.0625)
Sm,35,6,(-0,-0.0625)
Sz,24,17,(-0,-0.0625)
Sp,24,6,(0,0.0625)
Sp,10,25,(0,0.0625)
Sm,10,14,(-0,-0.0625)
Sz,32,25,(-0,-0.0625)
Sm,32,3,(0,0.0625)
Sz,21,14,(0,0.0625)
Sp,21,3,(-0,-0.0625)
Sp,11,25,(0,0.0625)
Sm,11,14,(-0,-0.0625)
Sz,33,25,(-0,-0.0625)
Sm,33,3,(0,0.0625)
Sz,22,14,(0,0.0625)
Sp,22,3,(-0,-0.0625)
--------ALL NN TERMS --------
Sz,10,1,(1,0)
Sm,32,1,(0.5,0)
Sp,21,1,(0.5,0)
Sz,13,1,(1,0)
Sm,35,1,(0.5,0)
Sp,24,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,9,1,(0.5,0)
Sm,31,1,(0.25,0)
Sp,20,1,(0.25,0)
Sz,11,1,(0.5,0)
Sm,33,1,(0.25,0)
Sp,22,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
---------MPO TERM: 8 -----------
--------ALL CHIRAL TERMS --------
Sp,11,25,(0,0.0625)
Sm,11,14,(-0,-0.0625)
Sz,33,25,(-0,-0.0625)
Sm,33,3,(0,0.0625)
Sz,22,14,(0,0.0625)
Sp,22,3,(-0,-0.0625)
Sp,11,28,(0,0.0625)
Sm,11,17,(-0,-0.0625)
Sz,33,28,(-0,-0.0625)
Sm,33,6,(0,0.0625)
Sz,22,17,(0,0.0625)
Sp,22,6,(-0,-0.0625)
Sp,13,27,(-0,-0.0625)
Sm,13,16,(0,0.0625)
Sz,35,27,(0,0.0625)
Sm,35,5,(-0,-0.0625)
Sz,24,16,(-0,-0.0625)
Sp,24,5,(0,0.0625)
Sp,13,28,(-0,-0.0625)
Sm,13,17,(0,0.0625)
Sz,35,28,(0,0.0625)
Sm,35,6,(-0,-0.0625)
Sz,24,17,(-0,-0.0625)
Sp,24,6,(0,0.0625)
--------ALL NN TERMS --------
Sz,10,1,(1,0)
Sm,32,1,(0.5,0)
Sp,21,1,(0.5,0)
Sz,11,1,(1,0)
Sm,33,1,(0.5,0)
Sp,22,1,(0.5,0)
Sz,13,1,(1,0)
Sm,35,1,(0.5,0)
Sp,24,1,(0.5,0)
--------ALL NNN TERMS --------
Sz,7,1,(0.5,0)
Sm,29,1,(0.25,0)
Sp,18,1,(0.25,0)
Sz,9,1,(0.5,0)
Sm,31,1,(0.25,0)
Sp,20,1,(0.25,0)
--------ALL Identity TERMS --------
Id,1,1,(1,0)
Id,2,2,(1,0)
Sz,2,13,(1,0)
Sm,2,24,(1,0)
Sp,2,35,(1,0)
Sz,3,1,(1,0)
Sp,14,1,(1,0)
Sm,25,1,(1,0)
Id,4,3,(1,0)
Id,5,4,(1,0)
Id,6,5,(1,0)
Id,8,7,(1,0)
Id,9,8,(1,0)
Id,10,9,(1,0)
Id,11,10,(1,0)
Id,12,11,(1,0)
Id,13,12,(1,0)
Id,15,14,(1,0)
Id,16,15,(1,0)
Id,17,16,(1,0)
Id,19,18,(1,0)
Id,20,19,(1,0)
Id,21,20,(1,0)
Id,22,21,(1,0)
Id,23,22,(1,0)
Id,24,23,(1,0)
Id,26,25,(1,0)
Id,27,26,(1,0)
Id,28,27,(1,0)
Id,30,29,(1,0)
Id,31,30,(1,0)
Id,32,31,(1,0)
Id,33,32,(1,0)
Id,34,33,(1,0)
Id,35,34,(1,0)
